ano;mês;dia ;hora;velo;dire;prec;Rajada;;;;;;;;;
2007;1;05;8;2;327;0;4,5;;;;;;;;;
2007;1;05;9;2,1;350;0;5,4;;;;;;;;;
2007;1;05;10;3,8;23;0;8,6;;;;;;;;;
2007;1;05;11;2,8;34;0,2;8,7;;;;;;;;;
2007;1;05;12;2,9;25;0;6,4;;;;;;;;;
2007;1;05;13;4;39;0;8,8;;;;;;;;;
2007;1;05;14;4,6;50;0;9,8;;;;;;;;;
2007;1;05;15;4,4;37;0;10,2;;;;;;;;;
2007;1;05;16;5,3;26;0;9,6;;;;;;;;;
2007;1;05;17;3,3;21;0;9,6;;;;;;;;;
2007;1;05;18;2,8;15;0;8,5;;;;;;;;;
2007;1;05;19;1,9;352;0;5,8;;;;;;;;;
2007;1;05;20;4,1;17;0;9,8;;;;;;;;;
2007;1;05;21;3,7;17;0;8,9;;;;;;;;;
2007;1;05;22;2,5;1;0;7,5;;;;;;;;;
2007;1;05;23;3,2;13;0;6,8;;;;;;;;;
2007;1;06;0;3,2;16;0;6,5;;;;;;;;;
2007;1;06;1;4,6;24;0;8,4;;;;;;;;;
2007;1;06;2;2,7;20;0;8,4;;;;;;;;;
2007;1;06;3;2,8;18;0;6,3;;;;;;;;;
2007;1;06;4;1,9;25;0;5,4;;;;;;;;;
2007;1;06;5;2,1;8;0;4,5;;;;;;;;;
2007;1;06;6;1,7;7;0;4,9;;;;;;;;;
2007;1;06;7;2,2;4;0;5,3;;;;;;;;;
2007;1;06;8;2,6;7;0;5,6;;;;;;;;;
2007;1;06;9;3,5;13;0;7,4;;;;;;;;;
2007;1;06;10;3,7;32;0;7,7;;;;;;;;;
2007;1;06;11;4,6;29;0;8,7;;;;;;;;;
2007;1;06;12;3,4;32;0;8,3;;;;;;;;;
2007;1;06;13;4,4;36;0;9;;;;;;;;;
2007;1;06;14;4,8;42;0;9,7;;;;;;;;;
2007;1;06;15;4,5;34;0;9,9;;;;;;;;;
2007;1;06;16;4;37;0;10,8;;;;;;;;;
2007;1;06;17;3,3;38;0;8,9;;;;;;;;;
2007;1;06;18;2,8;17;0;8,7;;;;;;;;;
2007;1;06;19;2,1;339;0;7,8;;;;;;;;;
2007;1;06;20;2,5;10;0;5,6;;;;;;;;;
2007;1;06;21;4;19;0;9;;;;;;;;;
2007;1;06;22;2,5;2;0;7,8;;;;;;;;;
2007;1;06;23;3;19;0;6,4;;;;;;;;;
